ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
21001	Attól tartok, hogy az elnök is épp azért nyitotta ki ezt a vitát, mert volt rá valami oka, de nem tudom mi az - fogalmazott Gyurcsány Ferenc.	Y	vitát	2741	    1,205	0.0024	582.32	hun_news_2011_00432532
21002	Egyetlen fontos téma volt, amely uralta a vitát: lehet-e olyan elnöke az USA-nak, aki nem az Egyesült Államokban született?	Y	vitát	2741	    1,205	0.0024	661.65	hun_news_2016_00478330
21003	Egyelőre nem tudni, hogy mi váltotta ki a családi vitát.	Y	vitát	2741	    1,205	0.0024	734.5	hun_news_2011_00537648
21004	Mint mondta, ez összefügg azzal is, hogy le lehet és le kell zárni az egészségbiztosításról szóló vitát.	Y	vitát	2741	    1,205	0.0024	887.6875	hun_news_2011_00162944
21005	Ez olyan vita, amely több országban is folyik, sok esetben legitimnek minõsítik ezt a vitát - közölte.	Y	vitát	2741	    1,205	0.0024	893.5625	hun_news_2016_00558162
21006	A magyar és a román válogatott szombaton magyar idő szerint 18 órakor csap össze Bukarestben.	Y	bukarestben	2742	    1,204	0.0024	687.3333	hun_news_2016_00163788
21007	Ez kétségkívül probléma, mégis: ha nem lett volna magyar képviselet Bukarestben, akkor mi lenne ma?	Y	bukarestben	2742	    1,204	0.0024	772.5333	hun_news_2016_00555549
21008	Innen egy másik épületbe költözött a színház, de nemrég ez is „piros pontot” kapott (ami Bukarestben nem jelent jót, sőt: azt jelenti, hogy az ingatlan életveszélyes).	Y	bukarestben	2742	    1,204	0.0024	869.4231	hun_news_2016_00662690
21009	Cikk megjelenítése: 935Olvasóink értékelése: Bukarestben nincs ilyen gond,ott az első cikkely a lényeg.	Y	bukarestben	2742	    1,204	0.0024	870.4286	hun_news_2017_00435381
21010	A román válogatott szeptember 4-én Budapesten lép pályára, majd három nappal késõbb Bukarestben fogadja a görögöket.	Y	bukarestben	2742	    1,204	0.0024	919.2667	hun_news_2016_00240836
21011	K. Á.: Nemcsak lehet, hanem még most is az: ilyen volt Daniel Day Lewis a -ban.	Y	daniel	2742	    1,204	0.0024	907.9375	hun_news_2016_00682056
21012	Daniel Ricciardo (8.): – Csak esett és esett, Seb is csak azért ment ki a végén, mert nem volt időeredménye.	Y	daniel	2742	    1,204	0.0024	965.9375	hun_news_2016_00449942
21013	Mert ez a 19 éves fiatalember, név szerint Daniel Gross, képes arra, amire a Google nem, képes keresni ott, ahol a Google nem.	Y	daniel	2742	    1,204	0.0024	973.0588	hun_news_2011_00356602
21014	Itt nincs meglepetés: Daniel Day-Lewis kapja a -ért, és ezzel õ az elsõ színész, aki három Oscart is nyert ebben a kategóriában.	Y	daniel	2742	    1,204	0.0024	1038.2727	hun_news_2016_00667616
21015	Az akkor 12 éves Daniel komolyan készült a szerepre, amely később megváltoztatta az életét.	Y	daniel	2742	    1,204	0.0024	1072.75	hun_news_2011_00936840
