ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
17001	Ayu ingin jadi diri sendiri yang apa adanya saja, katanya.	Y	ayu	2727	    1,715	0.0035	389.2	ind_news_2012_00164964
17002	Ayu juga mengatakan, media juga berperan besar dalam memberikan contoh bagi anak-anak.	Y	ayu	2727	    1,715	0.0035	614.1818	ind_news_2012_00583625
17003	Sepertinya akan sangat sulit bagi Ayu untuk bertemu dengan Putri.	Y	ayu	2727	    1,715	0.0035	677.3	ind_news_2012_00947195
17004	Foto-foto yang diduga Ayu dalam keadaan tanpa busana beredar di internet.	Y	ayu	2727	    1,715	0.0035	940.9091	ind_news_2011_00950907
17005	Dalam perawatan Agus, Ayu dilarang makan obat, dilarang terkena sinar matahari dan hanya boleh tidur.	Y	ayu	2727	    1,715	0.0035	1174.7143	ind_news_2011_00757833
17006	Jadi, tolong, sangat penting bagi kita untuk tidak mengatakan bahwa ada kemungkinan khusus, kata Sisi.	Y	tolong	2728	    1,714	0.0035	324.5333	ind_news_2016_00333820
17007	Ketika sedang jalan kaki melintas di dekat rumah korban itulah, tiba-tiba ia mendengar suara minta tolong dari dalam tinggal korban.	Y	tolong	2728	    1,714	0.0035	547.4737	ind_news_2011_00884781
17008	Kalau dia punya data dan fakta hukum, tolong disampaikan ke Dewan Kehormatan Demokrat.	Y	tolong	2728	    1,714	0.0035	710.1538	ind_news_2012_00919177
17009	Mengapa Tuhan tidak mendengarkan saat kita minta tolong, saat kita butuh kekuatan dan saat kita dalam kesulitan yang besar.	Y	tolong	2728	    1,714	0.0035	799.1333	ind_news_2012_00671280
17010	Demi keadilan, tolong kami guru-guru honorer K2 juga diangkat, ucapnya.	Y	tolong	2728	    1,714	0.0035	1334.5	ind_news_2016_00151887
17011	Ada berbagai masalah bang-sa dan daerah yang terjadi saat ini seperti, bagaimana sikap yang perlu kita lakukan dalam menghadapi bencana alam yang terus menimpa Indonesia hingga saat ini.	Y	bang	2729	    1,712	0.0035	431.08	ind_news_2016_00005394
17012	Lalu, apa yang istimewa bagi bang-sa Indonesia dengan bulan ini?	Y	bang	2729	    1,712	0.0035	605.2727	ind_news_2016_00473532
17013	“Bang Benny sudah dua kali duduk di kursi DPRD Sulut.	Y	bang	2729	    1,712	0.0035	791.6	ind_news_2016_00070323
17014	Anak Kecil Hingga Orang Tua, Semua Kenal Bang Haji - JPNN.	Y	bang	2729	    1,712	0.0035	838	ind_news_2016_00029236
17015	“Peduli apa takut kalau rakyat nan ti marah lalu pemerintah merasa ti dak populer, Bang David.	Y	bang	2729	    1,712	0.0035	1249.4667	ind_news_2012_00600751
17016	“Bagi saya, meskipun di dalam satu keluarga belum tentu keyakinan antara yang satu dan lainnya bisa sama.	Y	keyakinan	2730	    1,711	0.0035	285.75	ind_news_2011_00320826
17017	Itu juga memberi saya harapan dan keyakinan bahwa kami dapat kembali untuk sembilan balap terakhir, dengan peluang sebenarnya, untuk kedua kejuaraan dunia.	Y	keyakinan	2730	    1,711	0.0035	529.8571	ind_news_2012_00383531
17018	Keyakinan tersebut ia dapat setelah seluruh kontraktor pelaksana memastikan dapat menyelesaikan pekerjaan sesuai target waktu yang diberikan.	Y	keyakinan	2730	    1,711	0.0035	662.4375	ind_news_2011_00934393
17019	Keyakinan itu kian bertambah karena pemerintah sendiri makin mendukung industri digital Tanah Air.	Y	keyakinan	2730	    1,711	0.0035	780.3846	ind_news_2016_00449256
17020	Tidak lupa dia juga mengingatkan pentingnya menghargai segala bentuk perbedaan, termasuk berkaitan dengan keyakinan.	Y	keyakinan	2730	    1,711	0.0035	1070.6429	ind_news_2016_00943989
