ORDER	SENTENCE	STATUS	WORD	RANK	COUNT	COUNT_REL	INDEX	ID
11001	Grecja: o połowę mniej turystów z Rosji - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	turystów	1854	    2,217	0.005	429.1667	pol_news_2017_00195401
11002	Znów ubyło turystów - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	turystów	1854	    2,217	0.005	433.2381	pol_news_2017_00982843
11003	Ale po chwili przyznaje, że nawet jeśli pod uwagę weźmie się porę roku, turystów jest o wiele mniej niż rok czy dwa lata temu.	Y	turystów	1854	    2,217	0.005	474.1667	pol_news_2018_00017194
11004	Mają być one dostępne dla turystów już za około 2 lata.	Y	turystów	1854	    2,217	0.005	515.2	pol_news_2016_00350242
11005	Prawie połowa turystów jest już w domu, do..	Y	turystów	1854	    2,217	0.005	530.125	pol_news_2016_00604005
11006	Ale to nie jest nas, wyborców, sprawa.	Y	wyborców	1854	    2,217	0.005	359	pol_news_2017_00019304
11007	Wszystko jednak zależy od ludzi, czyli wyborców.	Y	wyborców	1854	    2,217	0.005	484.8571	pol_news_2016_00902968
11008	Przecież w tym wszystkim nigdy nie chodziło o dzieci tylko o wyborców.	Y	wyborców	1854	    2,217	0.005	499.5455	pol_news_2018_00621111
11009	Fakt, że SLD i PiS nie mogą przekonać do siebie wyborców, wynika przede wszystkim z ich błędów w ciągu tego roku.	Y	wyborców	1854	    2,217	0.005	521.8571	pol_news_2016_00186867
11010	"""""""Niestety nie chce przyjąć do wiadomości, że większość wyborców w roku 2015 uznała, że dłużej tak być nie może, a na pewno """"""""nie bardziej""""""""."""""""	Y	wyborców	1854	    2,217	0.005	567.2	pol_news_2018_00456051
11011	Informacje o niektórych spośród nich można jednak znaleźć.	Y	spośród	1855	    2,213	0.005	508.125	pol_news_2017_00211490
11012	A kto z was bierze ich sobie za przyjaciół, to sam jest spośród nich.	Y	spośród	1855	    2,213	0.005	536.2857	pol_news_2017_00010003
11013	Trzech spośród nich zatrzymano w sobotę rano (16 lipca), a jednego jeszcze w piątek.	Y	spośród	1855	    2,213	0.005	624.0833	pol_news_2018_00778782
11014	To najwięcej spośród wszystkich krajów Unii Europejskiej.	Y	spośród	1855	    2,213	0.005	625.1429	pol_news_2016_00756409
11015	"""""""A to tylko jedna spośród jej wielu aktywności, o których opowiedziała w """"""""Dniu Kobiet""""""""."""""""	Y	spośród	1855	    2,213	0.005	698.1429	pol_news_2018_00036419
11016	Tyle osób ocenia komentarz pozytywnieZaloguj się aby oceniać Tyle osób ocenia komentarz negatywnieZaloguj się aby oceniać zawsze tylko co kto mi da i to jeszcze dlaczego nie za darmo, no nie?	Y	darmo	1856	    2,212	0.005	211.6957	pol_news_2016_00786882
11017	Nic za darmo, to o co im chodzi.	Y	darmo	1856	    2,212	0.005	306.75	pol_news_2016_00437686
11018	Niestety, w życiu nie ma nic za darmo.	Y	darmo	1856	    2,212	0.005	396	pol_news_2018_00457371
11019	Za darmo to wszystko w PRL było.	Y	darmo	1856	    2,212	0.005	488	pol_news_2016_00935515
11020	FORUM: Pierwsza Miłość - Odcinek 1810 Online za DARMO!	Y	darmo	1856	    2,212	0.005	980.2857	pol_news_2016_00192243
11021	Język lata jak łopata - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	język	1856	    2,212	0.005	399.7727	pol_news_2018_00284127
11022	A jak przychodzi co do czego to i tak język w d..	Y	język	1856	    2,212	0.005	428.3333	pol_news_2016_00021316
11023	W Europie, jak wiadomo, prawie co kraj, to język.	Y	język	1856	    2,212	0.005	428.8889	pol_news_2018_00833946
11024	No i znowu zmienia nam się język polski.	Y	język	1856	    2,212	0.005	576.25	pol_news_2017_00459059
11025	Tyle osób ocenia komentarz pozytywnieZaloguj się aby oceniać Tyle osób ocenia komentarz negatywnieZaloguj się aby oceniać Pogrobowcy ten język coś mi przypomina.	Y	język	1856	    2,212	0.005	593.8	pol_news_2016_00785039
11026	Robi to PiS, robi Platforma - ale Polska to nie USA.	Y	platforma	1856	    2,212	0.005	353.875	pol_news_2018_00653874
11027	Platforma sama chyba nie wie, czego chce.	Y	platforma	1856	    2,212	0.005	577.7143	pol_news_2017_00534148
11028	"""""""Kopacz - informacje na tematy """"""""Kopacz"""""""" oraz """"""""platforma"""""""" - Tagi - znajdź treść po hasłach."""""""	Y	platforma	1856	    2,212	0.005	727.8182	pol_news_2016_00323206
11029	"""""""Trybunał Stanu - informacje na tematy """"""""Trybunał Stanu"""""""" oraz """"""""platforma"""""""" - Tagi - znajdź treść po hasłach."""""""	Y	platforma	1856	    2,212	0.005	751.25	pol_news_2018_00776876
11030	"""""""Oświadczył, że Platforma będzie """"""""walczyć każdego dnia""""""""."""""""	Y	platforma	1856	    2,212	0.005	836.8571	pol_news_2017_00505914
11031	A takich osób była również blisko połowa (46 proc.).	Y	połowa	1856	    2,212	0.005	370	pol_news_2017_00033832
11032	Ale niemal połowa rodziców uważa, że to jeszcze za mało.	Y	połowa	1856	    2,212	0.005	459.4	pol_news_2017_00016032
11033	Połowa z nich źle ocenia ich pracę.	Y	połowa	1856	    2,212	0.005	586.8571	pol_news_2017_00559853
11034	Ponad połowa z nich mieszka w zaledwie 10 krajach.	Y	połowa	1856	    2,212	0.005	682.875	pol_news_2016_00574173
11035	Druga połowa lepiej zaczęła się dla gości.	Y	połowa	1856	    2,212	0.005	874.8571	pol_news_2018_00151626
11036	Właśnie zakończył się proces w tej sprawie.	Y	zakończył	1856	    2,212	0.005	432.7143	pol_news_2017_00858612
11037	W czwartek przed sądem zakończył się proces w tej sprawie.	Y	zakończył	1856	    2,212	0.005	572.3333	pol_news_2016_00825426
11038	Rozpoczął się i zakończył tego samego dnia.	Y	zakończył	1856	    2,212	0.005	619.7143	pol_news_2016_00660950
11039	W tym przypadku sędzia zakończył walkę po I rundzie.	Y	zakończył	1856	    2,212	0.005	795.8889	pol_news_2018_00910314
11040	Szczyt USA i Korei Północnej oficjalnie się zakończył.	Y	zakończył	1856	    2,212	0.005	1051.25	pol_news_2018_00713891
11041	Dobrze jest się do niej odpowiednio przygotować.	Y	odpowiednio	1857	    2,210	0.005	652.2857	pol_news_2016_00140391
11042	Tym razem byli najlepsi na odpowiednio pierwszej i drugiej sesji przed..	Y	odpowiednio	1857	    2,210	0.005	664.3636	pol_news_2016_00792129
11043	Chodzi tu o umowy obowiązujące na okres odpowiednio do dwóch i na około siedem lat.	Y	odpowiednio	1857	    2,210	0.005	677.8571	pol_news_2018_00085276
11044	Tyle osób ocenia komentarz pozytywnieZaloguj się aby oceniać Tyle osób ocenia komentarz negatywnieZaloguj się aby oceniać niby jak odpowiednio ubrac?	Y	odpowiednio	1857	    2,210	0.005	707.0769	pol_news_2018_00786089
11045	A nawet jeśli wie, to się odpowiednio nie zabezpiecza.	Y	odpowiednio	1857	    2,210	0.005	710.1111	pol_news_2018_00025538
11046	Obaj są młodzi, albo nawet bardzo młodzi.	Y	obaj	1858	    2,209	0.005	603.5	pol_news_2018_00475561
11047	Obaj nie mogą uwierzyć w to co się stało.	Y	obaj	1858	    2,209	0.005	663.3333	pol_news_2016_00476409
11048	Obaj nie mieli we wtorek zbyt wiele czasu, by porozmawiać.	Y	obaj	1858	    2,209	0.005	686.4	pol_news_2018_00475447
11049	W rzeczy samej obaj politycy mają ze sobą wiele wspólnego.	Y	obaj	1858	    2,209	0.005	689.8	pol_news_2017_00887655
11050	Jedno jest pewne - obaj europosłowie mają dziś spotkanie w tej sprawie z szefem jednej ze służb.	Y	obaj	1858	    2,209	0.005	723.5625	pol_news_2017_00253398
11051	Za pierwszym razem profesor powiedział, że jest.	Y	profesor	1858	    2,209	0.005	369.1429	pol_news_2016_00947051
11052	W.M.: Pani profesor, jaki będzie rok 2009?	Y	profesor	1858	    2,209	0.005	394.7143	pol_news_2016_00866328
11053	Każdy ma więcej pracować za mniej ale nie pan profesor.	Y	profesor	1858	    2,209	0.005	433	pol_news_2017_00289125
11054	Profesor zmarł w wieku 89 lat, pod koniec kwietnia.	Y	profesor	1858	    2,209	0.005	535.375	pol_news_2016_00612328
11055	Profesor szansę na wzrost Europy widzi dużo..	Y	profesor	1858	    2,209	0.005	875.5714	pol_news_2016_00612287
11056	I tak było u nas aż do XX wieku.	Y	xx	1858	    2,209	0.005	302	pol_news_2016_00234247
11057	Największy polityk XX wieku - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	xx	1858	    2,209	0.005	372.1364	pol_news_2017_00393486
11058	Najważniejsze spotkanie dla polskiej kultury XX w.?	Y	xx	1858	    2,209	0.005	546.1429	pol_news_2016_00407539
11059	Swoją działalność rozpoczął jeszcze w latach 70. XX wieku.	Y	xx	1858	    2,209	0.005	626	pol_news_2017_00703274
11060	Tak nie stracił stanowiska żaden szef rządu w XX wieku.	Y	xx	1858	    2,209	0.005	712.4	pol_news_2018_00726468
11061	Było to pierwsze zwycięstwo Pałacu w tym sezonie.	Y	pałacu	1859	    2,208	0.005	479.125	pol_news_2016_00082108
11062	Może i dla niego znajdzie się jakieś miejsce w Pałacu?	Y	pałacu	1859	    2,208	0.005	518	pol_news_2018_00381715
11063	Wehikuł czasu VR w Pałacu Kultury - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	pałacu	1859	    2,208	0.005	537.75	pol_news_2017_00831380
11064	"""""""Kwestia życia"""""""", która odbyła się 22 listopada w Pałacu Kultury i Nauki w Warszawie."""""""	Y	pałacu	1859	    2,208	0.005	619.8333	pol_news_2016_00335316
11065	Czy jednak Komorowski będzie urzędował w Pałacu, tego na razie nie wiadomo.	Y	pałacu	1859	    2,208	0.005	666.5	pol_news_2018_00107878
11066	Ja wiem, ¿e tam jest re¿im.	Y	re	1860	    2,207	0.005	416.8571	pol_news_2017_00245344
11067	Być może to dopiero początek dyskusji o Polsce na forum RE.	Y	re	1860	    2,207	0.005	519.4545	pol_news_2016_00078655
11068	"""""""""""""""Fakty"""""""" z 17 stycznia""""""""Andrzej Duda na prezydenta, a re.."""""""	Y	re	1860	    2,207	0.005	527	pol_news_2016_00186504
11069	Re:Zakaz handlu w niedzielę: Za czy przeciw?	Y	re	1860	    2,207	0.005	774.25	pol_news_2016_00651465
11070	Re:Donald Tusk szefem Rady Europejskiej Re:Prof.	Y	re	1860	    2,207	0.005	941.4286	pol_news_2016_00646575
11071	Wystartował chiński samolot - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	samolot	1861	    2,206	0.005	556.381	pol_news_2017_00929499
11072	Samolot solarny doleciał już do Chin - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	samolot	1861	    2,206	0.005	598.8333	pol_news_2017_00666026
11073	"""""""USA - informacje na tematy """"""""USA"""""""" oraz """"""""samolot"""""""" - Tagi - znajdź treść po hasłach."""""""	Y	samolot	1861	    2,206	0.005	621.8182	pol_news_2017_00800620
11074	Bez tych europejskich firm samolot w ogóle by nie powstał.	Y	samolot	1861	    2,206	0.005	639.6	pol_news_2018_00052117
11075	Samolot na baterie słoneczne leci nad USA - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	samolot	1861	    2,206	0.005	655.125	pol_news_2018_00671651
11076	Ci, którzy nie mają takich oszczędności, mogą się zdecydować na zakup jeszcze w tym roku.	Y	zakup	1861	    2,206	0.005	536.3333	pol_news_2017_00087428
11077	Ich zakup dla jednej klasy to koszt ponad 2 tys. zł, ale wciąż niewiele szkół decyduje się na nie.	Y	zakup	1861	    2,206	0.005	566.0556	pol_news_2018_00209374
11078	Mimo to wiele osób decyduje się na taki zakup.	Y	zakup	1861	    2,206	0.005	581.8889	pol_news_2016_00373765
11079	Czeski zakup Itaki walczy o rynek - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	zakup	1861	    2,206	0.005	597.0833	pol_news_2017_00101371
11080	Nie ma na rynku firmy, której zakup byłby w tej chwili atrakcyjny dla naszej spółki.	Y	zakup	1861	    2,206	0.005	600.6667	pol_news_2017_00435155
11081	Są osoby, dla których zakupy w dzień to za mało.	Y	zakupy	1861	    2,206	0.005	316.9	pol_news_2018_00673185
11082	W chodzi o to, żeby zrobić zakupy.	Y	zakupy	1861	    2,206	0.005	398.7143	pol_news_2016_00820227
11083	Zakupy w niedzielę będziemy mogli zrobić dopiero 30 września.	Y	zakupy	1861	    2,206	0.005	580.5	pol_news_2018_00941547
11084	Cała rodzina może zrobić zakupy w jednym miejscu!	Y	zakupy	1861	    2,206	0.005	613.25	pol_news_2016_00085209
11085	Blisko połowa z nas robi e-zakupy.	Y	zakupy	1861	    2,206	0.005	713.5714	pol_news_2018_00055666
11086	Maja ma coraz większą rodzinę - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	większą	1862	    2,205	0.005	330.5652	pol_news_2017_00335791
11087	Kiwi pod coraz większą presją - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	większą	1862	    2,205	0.005	534.3478	pol_news_2017_00297098
11088	RPO walczy o większą kwotę wolną od podatku - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	większą	1862	    2,205	0.005	623.5769	pol_news_2018_00663087
11089	Tak na większą skalę to od 3 lat.	Y	większą	1862	    2,205	0.005	632.5714	pol_news_2018_00726412
11090	To nic dziwnego, że im jest ich więcej, tym coś przyciąga większą uwagę.	Y	większą	1862	    2,205	0.005	656.6154	pol_news_2018_00759788
11091	To dopiero pierwszy etap inwestycji o wartości 16 mln zł.	Y	etap	1863	    2,204	0.005	429.5556	pol_news_2018_00752347
11092	"""""""""""""""Nowy etap współpracy Polski z USA"""""""" Trump w Polsce."""""""	Y	etap	1863	    2,204	0.005	439.1111	pol_news_2017_00462655
11093	Nowy etap budowy Muzeum II Wojny Światowej Prawie 25 tysięcy..	Y	etap	1863	    2,204	0.005	658.6667	pol_news_2016_00474537
11094	29 czerwca rozpocznie się kolejny, ostatni etap konkursu.	Y	etap	1863	    2,204	0.005	797.2857	pol_news_2016_00008922
11095	Pierwszy etap konkursu odbył się w maju.	Y	etap	1863	    2,204	0.005	896.5714	pol_news_2017_00527779
11096	Projekt takiej ustawy został złożony w Sejmie jeszcze w 2005 roku z inicjatywy posłów Akcji Wyborczej Polaków na Litwie.	Y	inicjatywy	1863	    2,204	0.005	647.2353	pol_news_2018_00615469
11097	Nowa zieleń to jednak nie tylko działania miasta, to także inicjatywy mieszkańców.	Y	inicjatywy	1863	    2,204	0.005	667.0909	pol_news_2017_00460862
11098	Jest on obchodzony od dziś do 22 listopada z inicjatywy Światowej Organizacji Zdrowia.	Y	inicjatywy	1863	    2,204	0.005	686	pol_news_2018_00276730
11099	"""""""I tak naprawdę to, co się wydarzyło wczoraj, wydarzyło się z inicjatywy """"""""Solidarności""""""""."""""""	Y	inicjatywy	1863	    2,204	0.005	694.3636	pol_news_2016_00234443
11100	Z w³asnej inicjatywy chyba by tego nie robi³.	Y	inicjatywy	1863	    2,204	0.005	709.3333	pol_news_2017_00994767
11101	"""""""Pytanie tylko, czy to będzie """"""""trochę"""""""", czy więcej niż """"""""trochę powyżej 3 proc."""""""""""""""	Y	powyżej	1864	    2,203	0.005	338	pol_news_2018_00642061
11102	Dolar powyżej 4 zł - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	powyżej	1864	    2,203	0.005	387.4762	pol_news_2018_00138843
11103	Co bardziej niepokojące - większość z tej grupy to ludzie powyżej 65. roku życia.	Y	powyżej	1864	    2,203	0.005	572.0833	pol_news_2018_00090659
11104	A jeśli nie to co dalej? 3. Tak się stało, jak napisałem powyżej.	Y	powyżej	1864	    2,203	0.005	576.25	pol_news_2016_00022085
11105	Nie palą się do zmiany pracy osoby w wieku powyżej 55 lat.	Y	powyżej	1864	    2,203	0.005	594.3636	pol_news_2018_00451419
11106	Poza tym, to co my tak naprawdę wiemy o przeszłości?	Y	przeszłości	1864	    2,203	0.005	389.3	pol_news_2017_00590854
11107	Stopklatki z przeszłości - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	przeszłości	1864	    2,203	0.005	432.1	pol_news_2017_00696981
11108	W przeszłości, owszem, wybory dla inwestorów były bardzo ważne, ale nie aż tak jak teraz.	Y	przeszłości	1864	    2,203	0.005	507	pol_news_2016_00884253
11109	Jak wiadomo osoba ta miała w przeszłości problem z prawem.	Y	przeszłości	1864	    2,203	0.005	533.6	pol_news_2016_00254935
11110	W przeszłości jednak nie mówiono o tym tyle, co obecnie.	Y	przeszłości	1864	    2,203	0.005	559.8	pol_news_2016_00884243
11111	Są już prowadzone pierwsze rozmowy na ten temat.	Y	prowadzone	1865	    2,202	0.005	384.625	pol_news_2018_00670058
11112	Od kilku miesięcy prowadzone są na ten temat rozmowy.	Y	prowadzone	1865	    2,202	0.005	398.1111	pol_news_2017_00478043
11113	Takie akcje mają być prowadzone bardzo często.	Y	prowadzone	1865	    2,202	0.005	505.1429	pol_news_2018_00722766
11114	Dodała, że w jego sprawie prowadzone jest śledztwo.	Y	prowadzone	1865	    2,202	0.005	630	pol_news_2016_00142595
11115	Działania na granicy prowadzone były w czerwcu, we wrześniu i grudniu ubiegłego roku.	Y	prowadzone	1865	    2,202	0.005	788.3077	pol_news_2016_00167878
11116	Zamość - Dziennik WschodniPrzeglądarka, z której korzystasz jest przestarzała.	Y	zamość	1865	    2,202	0.005	477.875	pol_news_2016_00942302
11117	Zamość - strona 5 - Dziennik WschodniPrzeglądarka, z której korzystasz jest przestarzała.	Y	zamość	1865	    2,202	0.005	504.6667	pol_news_2017_00945706
11118	Zamość - strona 2 - Forum Dziennik WschodniPrzeglądarka, z której korzystasz jest przestarzała.	Y	zamość	1865	    2,202	0.005	516.2	pol_news_2017_00945705
11119	Zamość - Wiadomości z Lublina i regionu - Dziennik WschodniPrzeglądarka, z której korzystasz jest przestarzała.	Y	zamość	1865	    2,202	0.005	543.75	pol_news_2017_00945709
11120	Zamość - strona 353 - Forum Dziennik Wschodni Przeglądarka, z której korzystasz jest przestarzała.	Y	zamość	1865	    2,202	0.005	643.2727	pol_news_2018_00944076
11121	Już wiadomo, że nie wszyscy urzędnicy mogą liczyć na dodatkowe pieniądze.	Y	urzędnicy	1866	    2,199	0.005	522	pol_news_2018_00288741
11122	Urzędnicy wynajmą infomatyków - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	urzędnicy	1866	    2,199	0.005	598.0952	pol_news_2017_00800366
11123	Wtedy urzędnicy zabrali mu prawo jazdy - Dziennik WschodniPrzeglądarka, z której korzystasz jest przestarzała.	Y	urzędnicy	1866	    2,199	0.005	669.7692	pol_news_2016_00906022
11124	Tymczasem urzędnicy otrzymują w ciągu jednego roku nawet 27 tys. zł.	Y	urzędnicy	1866	    2,199	0.005	679.3	pol_news_2018_00791168
11125	Jednak nasi urzędnicy jeżdżą po świecie i widzą takie rzeczy u innych, ale u siebie już nie potrafią tego zrobić.	Y	urzędnicy	1866	    2,199	0.005	697.7368	pol_news_2018_00254865
11126	Karnego nie ma i byæ nie powinno.	Y	karnego	1867	    2,198	0.005	557	pol_news_2016_00301287
11127	I chociaż mieli jeszcze karnego, to z nami nie wygrali – przyznał polski zawodnik.	Y	karnego	1867	    2,198	0.005	640.5385	pol_news_2017_00203367
11128	Za nic w świecie nie było karnego dla Chełmianki.	Y	karnego	1867	    2,198	0.005	705	pol_news_2018_00944477
11129	Co¶ wydajê mi siê, ¿e tego karnego nie powinno byæ.	Y	karnego	1867	    2,198	0.005	752.7	pol_news_2018_00097893
11130	Karnego nie by³o W³ochy - Polska.	Y	karnego	1867	    2,198	0.005	769.7143	pol_news_2018_00292836
11131	Lekarz - Puls Biznesu - pb.pl - strona 4 Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	lekarz	1867	    2,198	0.005	272.45	pol_news_2017_00323986
11132	Na szczęście lekarz powiedział, że jego stan jest dobry.	Y	lekarz	1867	    2,198	0.005	498.5556	pol_news_2017_00410464
11133	Lekarz ocenił, że kobieta miała około 22 lat.	Y	lekarz	1867	    2,198	0.005	641	pol_news_2018_00333753
11134	"""""""""""""""Mój lekarz zrobił dla mnie to samo."""""""	Y	lekarz	1867	    2,198	0.005	724.7143	pol_news_2018_00377888
11135	Dlatego lekarz ponownie znalazł się w sądzie.	Y	lekarz	1867	    2,198	0.005	886.4286	pol_news_2018_00127152
11136	Bosch ogłosił największą inwestycję w historii - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	największą	1867	    2,198	0.005	584.9583	pol_news_2017_00057573
11137	"""""""Podkreślił, że prezes PiS """"""""również ze szpitala ma pełną i największą wiedzę na temat stanu państwa i partii""""""""."""""""	Y	największą	1867	    2,198	0.005	587.7059	pol_news_2018_00553074
11138	W.Brytania: Polacy największą grupą więźniów-obcokrajowców - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	największą	1867	    2,198	0.005	671	pol_news_2018_00819061
11139	Największą szansą PO jest zmiana wyborów w Warszawie na referendum przeciwko PiS.	Y	największą	1867	    2,198	0.005	701.8333	pol_news_2017_00392933
11140	Miłość do aktorstwa być może została mu do dziś, ale ci, którzy znają go dobrze, twierdzą, że to nie ona jest jego największą namiętnością.	Y	największą	1867	    2,198	0.005	714.4783	pol_news_2018_00367807
11141	Parlament - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	parlament	1867	    2,198	0.005	248.9474	pol_news_2017_00518842
11142	Parlament - Puls Biznesu - pb.pl - strona 3Subskrybuj Puls Biznesu subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	parlament	1867	    2,198	0.005	476.2778	pol_news_2018_00527632
11143	﻿ Zobacz więcej na temat: Parlament Europejski Ten artykuł nie ma jeszcze komentarzy, możesz być pierwszy!	Y	parlament	1867	    2,198	0.005	516.2667	pol_news_2016_00985493
11144	Ważne jest to dla prezydenta, żeby parlament zaczął..	Y	parlament	1867	    2,198	0.005	522.75	pol_news_2016_00818249
11145	Cyberatak na brytyjski parlament - Puls Biznesu - pb.pl Z ostatniej chwili subskrypcja Pulsu Biznesu Wybierz pakiet dla siebie Bądź na bieżąco, gdziekolwiek jesteś!	Y	parlament	1867	    2,198	0.005	535.7619	pol_news_2017_00097124
11146	Stanowią je ludzie, którzy chcą Ukrainy w Unii Europejskiej oraz w dobrych związkach z Polską i, podobnie jak my, chcą być w NATO.	Y	stanowią	1867	    2,198	0.005	579.05	pol_news_2017_00693543
11147	Ona stanowią zagrożenie dla ruchu, a chyba nikt nie chce by znowu ktoś zginął.	Y	stanowią	1867	    2,198	0.005	604.1429	pol_news_2017_00493160
11148	Stanowią one około 16 procent wszystkich mieszkańców Litwy.	Y	stanowią	1867	    2,198	0.005	629.5714	pol_news_2016_00699304
11149	Dzieje się tak pomimo tego, że mniejszości stanowią aż 16 procent mieszkańców kraju.	Y	stanowią	1867	    2,198	0.005	645	pol_news_2016_00169980
