WORD	RANK	COUNT	COUNT_REL
die	1	1607139	3.4298
der	2	1497314	3.1954
und	3	984511	2.101
in	4	843995	1.8012
das	5	590960	1.2612
den	6	538042	1.1482
mit	7	453641	0.9681
von	8	450338	0.9611
zu	9	421604	0.8997
ist	10	407568	0.8698
auf	11	404692	0.8636
im	12	397997	0.8494
für	13	383206	0.8178
ein	14	346906	0.7403
sich	15	345417	0.7372
nicht	16	343930	0.734
es	17	342979	0.7319
auch	18	291574	0.6222
dem	19	288883	0.6165
eine	20	288665	0.616
sie	21	263195	0.5617
des	22	255027	0.5443
als	23	227828	0.4862
bei	24	208933	0.4459
an	25	208773	0.4455
er	26	206059	0.4397
am	27	203596	0.4345
hat	28	196835	0.4201
dass	29	195561	0.4173
nach	30	195025	0.4162
aus	31	185685	0.3963
wie	32	173574	0.3704
werden	33	170790	0.3645
um	34	165591	0.3534
aber	35	157865	0.3369
wird	36	155466	0.3318
sind	37	154947	0.3307
noch	38	152990	0.3265
vor	39	143810	0.3069
einen	40	141879	0.3028
einem	41	141039	0.301
so	42	140407	0.2996
ich	43	139068	0.2968
einer	44	137378	0.2932
haben	45	127931	0.273
über	46	123974	0.2646
zum	47	122977	0.2624
nur	48	121956	0.2603
war	49	120438	0.257
wir	50	115900	0.2473
mehr	51	114167	0.2436
man	52	113839	0.2429
oder	53	106366	0.227
sein	54	91166	0.1946
bis	55	84929	0.1812
wenn	56	84414	0.1801
gegen	57	84184	0.1797
kann	58	80016	0.1708
wurde	59	80013	0.1708
zur	60	77442	0.1653
euro	61	74368	0.1587
hatte	62	73790	0.1575
was	63	71368	0.1523
schon	64	70150	0.1497
prozent	65	69673	0.1487
dann	66	69145	0.1476
diese	67	66418	0.1417
durch	68	66415	0.1417
unter	69	66133	0.1411
sei	70	65706	0.1402
können	71	64091	0.1368
wieder	72	63965	0.1365
doch	73	62288	0.1329
habe	74	60753	0.1297
soll	75	59461	0.1269
ihre	76	57906	0.1236
zwei	77	56880	0.1214
gibt	78	56839	0.1213
immer	79	56595	0.1208
vom	80	55330	0.1181
seine	81	54965	0.1173
beim	82	54348	0.116
seit	83	53955	0.1151
da	84	53788	0.1148
keine	85	53237	0.1136
jahr	86	53122	0.1134
sagte	87	53019	0.1131
nun	88	52916	0.1129
damit	89	50866	0.1086
jahren	90	48726	0.104
alle	91	48032	0.1025
bereits	92	46961	0.1002
jetzt	93	46432	0.0991
will	94	46225	0.0986
muss	95	45586	0.0973
dieser	96	45479	0.0971
neue	97	43481	0.0928
hier	98	41938	0.0895
sehr	99	41856	0.0893
ab	100	41202	0.0879
ihr	101	41015	0.0875
dabei	102	40950	0.0874
uhr	103	40252	0.0859
drei	104	39718	0.0848
eines	105	39702	0.0847
geht	106	39399	0.0841
mal	107	39272	0.0838
waren	108	38697	0.0826
menschen	109	38168	0.0815
gut	110	38061	0.0812
viele	111	37976	0.081
ersten	112	37816	0.0807
deutschland	113	37439	0.0799
seiner	114	37113	0.0792
wurden	115	37052	0.0791
rund	116	36005	0.0768
millionen	117	36002	0.0768
denn	118	35553	0.0759
viel	119	35394	0.0755
neuen	120	35348	0.0754
sagt	121	35316	0.0754
uns	122	35148	0.075
us	123	34826	0.0743
heute	124	34466	0.0736
weil	125	33895	0.0723
worden	126	33691	0.0719
diesem	127	33663	0.0718
weiter	128	33248	0.071
jahre	129	33173	0.0708
müssen	130	33070	0.0706
selbst	131	32670	0.0697
zeit	132	32495	0.0693
zwischen	133	32179	0.0687
ohne	134	32032	0.0684
ende	135	31146	0.0665
allerdings	136	30881	0.0659
seinen	137	30756	0.0656
ob	138	30569	0.0652
ja	139	30312	0.0647
erst	140	30226	0.0645
etwas	141	30178	0.0644
anderen	142	29919	0.0638
etwa	143	29839	0.0637
ins	144	29344	0.0626
ganz	145	29256	0.0624
unternehmen	146	28755	0.0614
machen	147	28435	0.0607
kein	148	27877	0.0595
ihren	149	27814	0.0594
deutschen	150	27794	0.0593
dort	151	27779	0.0593
allem	152	27768	0.0593
dazu	153	27555	0.0588
sollen	154	27451	0.0586
alles	155	27419	0.0585
wer	156	27397	0.0585
dafür	157	26915	0.0574
steht	158	26577	0.0567
wegen	159	26572	0.0567
weitere	160	26419	0.0564
ihrer	161	26418	0.0564
kommt	162	26396	0.0563
andere	163	26393	0.0563
könnte	164	26357	0.0562
wollen	165	26349	0.0562
laut	166	26337	0.0562
seinem	167	26257	0.056
sondern	168	25974	0.0554
eu	169	25664	0.0548
sowie	170	25308	0.054
sollte	171	24769	0.0529
also	172	24647	0.0526
dies	173	24550	0.0524
seien	174	24467	0.0522
mich	175	24337	0.0519
einmal	176	24078	0.0514
lassen	176	24078	0.0514
hatten	177	24030	0.0513
vier	178	23895	0.051
wäre	179	23833	0.0509
welt	180	23582	0.0503
dieses	181	23510	0.0502
jährige	182	23213	0.0495
nichts	183	23181	0.0495
ihn	184	23174	0.0495
usa	185	23145	0.0494
mir	186	23139	0.0494
würde	187	22951	0.049
kommen	188	22903	0.0489
macht	189	22705	0.0485
deutsche	190	22333	0.0477
werde	191	22295	0.0476
polizei	192	22244	0.0475
jedoch	193	22199	0.0474
ihm	194	22136	0.0472
leben	195	22099	0.0472
beiden	196	22046	0.047
vergangenen	197	22040	0.047
s	198	21816	0.0466
zwar	199	21658	0.0462
wo	200	21648	0.0462
zudem	201	21505	0.0459
während	202	21388	0.0456
diesen	203	20929	0.0447
gab	204	20728	0.0442
einfach	205	20666	0.0441
erste	206	20532	0.0438
stadt	207	19967	0.0426
berlin	208	19865	0.0424
konnte	209	19680	0.042
spiel	210	19614	0.0419
fünf	211	19602	0.0418
e	212	19601	0.0418
fast	213	19548	0.0417
davon	214	19460	0.0415
geld	215	19358	0.0413
mann	216	19355	0.0413
letzten	217	19352	0.0413
land	218	18970	0.0405
wohl	219	18884	0.0403
geben	220	18852	0.0402
stehen	221	18808	0.0401
dollar	222	18714	0.0399
zurück	223	18709	0.0399
sogar	224	18669	0.0398
sehen	225	18156	0.0387
dpa	226	18085	0.0386
platz	227	18030	0.0385
weg	228	17973	0.0384
derzeit	229	17936	0.0383
ihnen	230	17922	0.0382
milliarden	231	17802	0.038
bild	232	17708	0.0378
gehen	233	17533	0.0374
gerade	234	17138	0.0366
weniger	235	17093	0.0365
ihrem	236	16927	0.0361
regierung	237	16918	0.0361
kam	238	16916	0.0361
deutlich	239	16914	0.0361
einige	240	16858	0.036
frau	241	16836	0.0359
großen	242	16727	0.0357
bisher	243	16675	0.0356
lange	244	16635	0.0355
liegt	245	16572	0.0354
sieht	246	16545	0.0353
fall	247	16386	0.035
de	248	16324	0.0348
große	249	16309	0.0348
online	250	16286	0.0348
woche	251	16277	0.0347
tag	252	16203	0.0346
bin	253	16045	0.0342
europa	254	16019	0.0342
team	255	15993	0.0341
würden	256	15976	0.0341
hätten	257	15898	0.0339
kinder	258	15894	0.0339
freitag	259	15867	0.0339
hätte	260	15863	0.0339
foto	261	15834	0.0338
deshalb	262	15803	0.0337
gar	263	15683	0.0335
darauf	264	15646	0.0334
gewesen	265	15623	0.0333
insgesamt	266	15537	0.0332
zehn	267	15435	0.0329
wenig	268	15406	0.0329
teil	269	15367	0.0328
neben	270	15274	0.0326
natürlich	271	15225	0.0325
frage	272	15185	0.0324
lässt	273	15181	0.0324
zweiten	274	15017	0.032
besser	275	15015	0.032
bleibt	276	14852	0.0317
zeigt	277	14732	0.0314
eigenen	278	14690	0.0313
finden	279	14661	0.0313
ebenfalls	280	14631	0.0312
jeder	281	14560	0.0311
artikel	282	14520	0.031
thema	283	14474	0.0309
gemacht	284	14457	0.0309
später	285	14414	0.0308
pro	286	14401	0.0307
kaum	287	14305	0.0305
sonntag	288	14260	0.0304
präsident	289	14222	0.0304
besonders	290	14217	0.0303
möglich	291	14191	0.0303
denen	292	14169	0.0302
unsere	293	13858	0.0296
wochen	294	13844	0.0295
chef	295	13755	0.0294
keinen	296	13723	0.0293
allen	297	13659	0.0291
nie	298	13649	0.0291
angaben	299	13618	0.0291
mittwoch	300	13596	0.029
donnerstag	301	13503	0.0288
eigentlich	302	13487	0.0288
montag	303	13480	0.0288
bekannt	304	13451	0.0287
a	305	13435	0.0287
sechs	306	13333	0.0285
genau	307	13330	0.0284
klar	308	13271	0.0283
wm	309	13270	0.0283
vielen	310	13217	0.0282
spd	311	13198	0.0282
minuten	312	13140	0.028
statt	313	13120	0.028
saison	314	13095	0.0279
dienstag	315	13072	0.0279
sollten	316	13028	0.0278
frauen	317	12963	0.0277
kurz	318	12932	0.0276
schnell	319	12902	0.0275
musste	320	12900	0.0275
kunden	321	12878	0.0275
wirklich	322	12873	0.0275
spielen	323	12865	0.0275
trainer	324	12843	0.0274
russland	325	12802	0.0273
sicher	326	12775	0.0273
gegenüber	327	12759	0.0272
welche	328	12696	0.0271
zahlen	329	12688	0.0271
gute	330	12660	0.027
fc	331	12622	0.0269
zunächst	332	12613	0.0269
bayern	333	12583	0.0269
zusammen	334	12581	0.0268
warum	335	12574	0.0268
darüber	336	12573	0.0268
außerdem	337	12526	0.0267
zuletzt	338	12512	0.0267
bleiben	339	12508	0.0267
anderem	340	12418	0.0265
wollte	341	12393	0.0264
gilt	342	12359	0.0264
oft	343	12341	0.0263
könnten	344	12338	0.0263
mail	345	12297	0.0262
seite	346	12277	0.0262
spieler	347	12242	0.0261
vielleicht	348	12166	0.026
tun	349	12126	0.0259
wissen	350	12027	0.0257
zuvor	351	11995	0.0256
ging	352	11992	0.0256
knapp	353	11978	0.0256
nächsten	354	11968	0.0255
ziel	355	11942	0.0255
neu	356	11883	0.0254
schweiz	357	11860	0.0253
recht	358	11835	0.0253
stellen	359	11811	0.0252
internet	360	11786	0.0252
heißt	361	11758	0.0251
trotz	362	11738	0.025
samstag	363	11723	0.025
arbeit	364	11687	0.0249
hinter	365	11683	0.0249
beispiel	366	11581	0.0247
schweizer	366	11581	0.0247
bank	367	11567	0.0247
gleich	368	11536	0.0246
auto	369	11505	0.0246
mehrere	370	11468	0.0245
sagen	371	11448	0.0244
damals	372	11370	0.0243
eher	373	11356	0.0242
stand	374	11219	0.0239
beide	375	11213	0.0239
anfang	376	11180	0.0239
daten	377	11107	0.0237
kosten	378	11060	0.0236
stunden	379	10997	0.0235
tv	380	10987	0.0234
je	381	10968	0.0234
markt	382	10935	0.0233
deren	383	10934	0.0233
google	384	10876	0.0232
per	385	10869	0.0232
einsatz	386	10868	0.0232
erklärt	387	10812	0.0231
darf	388	10809	0.0231
bislang	389	10790	0.023
bekommen	390	10754	0.0229
zukunft	391	10751	0.0229
fußball	392	10747	0.0229
punkte	393	10726	0.0229
erhalten	394	10713	0.0229
dürfte	395	10703	0.0228
september	396	10698	0.0228
stark	397	10695	0.0228
daher	398	10628	0.0227
anders	399	10567	0.0226
sieg	400	10562	0.0225
weiß	401	10504	0.0224
weit	402	10438	0.0223
problem	403	10400	0.0222
facebook	404	10399	0.0222
erklärte	405	10394	0.0222
halten	406	10374	0.0221
politik	407	10373	0.0221
grund	408	10346	0.0221
juni	408	10346	0.0221
mitarbeiter	409	10320	0.022
dagegen	410	10301	0.022
informationen	410	10301	0.022
fest	411	10263	0.0219
arbeiten	412	10256	0.0219
du	413	10208	0.0218
aller	414	10202	0.0218
weiteren	415	10192	0.0218
meisten	416	10181	0.0217
meine	417	10166	0.0217
tage	418	10142	0.0216
offenbar	419	10134	0.0216
paar	420	10123	0.0216
solche	421	10111	0.0216
nachdem	422	10070	0.0215
kommenden	423	10062	0.0215
blick	424	10040	0.0214
fragen	425	10031	0.0214
schreiben	426	10028	0.0214
jahres	427	10022	0.0214
november	428	10020	0.0214
gehört	429	9982	0.0213
the	430	9916	0.0212
antwort	431	9914	0.0212
cdu	432	9905	0.0211
zeitung	433	9902	0.0211
nehmen	434	9894	0.0211
hin	435	9803	0.0209
erwartet	436	9795	0.0209
münchen	437	9780	0.0209
bringen	438	9778	0.0209
windows	439	9713	0.0207
könne	440	9710	0.0207
schwer	441	9708	0.0207
besten	442	9692	0.0207
weiterhin	443	9686	0.0207
findet	444	9677	0.0207
rennen	445	9663	0.0206
oktober	446	9660	0.0206
daran	447	9657	0.0206
mai	448	9643	0.0206
monaten	449	9636	0.0206
dessen	450	9628	0.0205
entwicklung	451	9619	0.0205
titel	452	9584	0.0205
zeigen	453	9566	0.0204
zufolge	454	9482	0.0202
apple	455	9380	0.02
hält	456	9333	0.0199
richtig	457	9332	0.0199
leute	458	9322	0.0199
geschichte	459	9316	0.0199
gegeben	460	9295	0.0198
januar	461	9247	0.0197
konnten	462	9223	0.0197
familie	463	9213	0.0197
tagen	464	9191	0.0196
allein	465	9186	0.0196
österreich	466	9183	0.0196
gruppe	467	9176	0.0196
flüchtlinge	468	9152	0.0195
of	469	9143	0.0195
china	470	9111	0.0194
sieben	471	9102	0.0194
video	472	9086	0.0194
zumindest	473	9056	0.0193
möchte	474	9000	0.0192
stellt	475	8990	0.0192
probleme	476	8959	0.0191
fans	477	8956	0.0191
märz	478	8944	0.0191
juli	479	8916	0.019
ganze	480	8912	0.019
jährigen	481	8894	0.019
acht	482	8883	0.019
europäischen	483	8848	0.0189
dennoch	484	8833	0.0189
erneut	485	8831	0.0188
danach	486	8828	0.0188
inzwischen	487	8805	0.0188
straße	488	8791	0.0188
berichtet	489	8770	0.0187
neues	490	8715	0.0186
wirtschaft	491	8705	0.0186
liegen	492	8704	0.0186
erfolg	493	8691	0.0185
folgen	494	8690	0.0185
preis	495	8666	0.0185
new	496	8658	0.0185
bereich	497	8633	0.0184
dezember	498	8631	0.0184
nutzer	499	8585	0.0183
dürfen	500	8559	0.0183
direkt	501	8536	0.0182
mannschaft	502	8535	0.0182
schließlich	502	8535	0.0182
partei	503	8532	0.0182
bietet	504	8516	0.0182
wert	505	8506	0.0182
jeden	506	8504	0.0181
geworden	507	8500	0.0181
mindestens	508	8473	0.0181
richtung	509	8463	0.0181
tatsächlich	510	8457	0.018
wichtig	511	8439	0.018
art	512	8433	0.018
entscheidung	512	8433	0.018
treffen	513	8427	0.018
verletzt	514	8423	0.018
zahl	515	8422	0.018
erstmals	516	8411	0.0179
ukraine	517	8391	0.0179
michael	518	8388	0.0179
merkel	519	8368	0.0179
lang	520	8347	0.0178
überhaupt	521	8327	0.0178
kommentar	522	8320	0.0178
leicht	523	8302	0.0177
hoch	524	8288	0.0177
frankfurt	525	8278	0.0177
männer	526	8269	0.0176
haus	527	8254	0.0176
august	528	8226	0.0176
kleinen	529	8221	0.0175
rolle	530	8199	0.0175
trotzdem	531	8194	0.0175
bitte	532	8180	0.0175
mein	533	8169	0.0174
dank	534	8165	0.0174
version	535	8148	0.0174
medien	536	8129	0.0173
zweite	537	8128	0.0173
eben	538	8126	0.0173
grünen	539	8107	0.0173
b	540	8088	0.0173
nutzen	541	8049	0.0172
vergleich	542	8039	0.0172
mio	543	8034	0.0171
ergebnis	544	8016	0.0171
app	545	8015	0.0171
junge	546	8007	0.0171
gekommen	547	7997	0.0171
april	548	7992	0.0171
thomas	549	7980	0.017
ort	550	7961	0.017
gestern	551	7951	0.017
bilder	552	7946	0.017
müsse	553	7934	0.0169
meter	554	7930	0.0169
studie	555	7919	0.0169
nacht	556	7913	0.0169
start	557	7912	0.0169
is	558	7845	0.0167
personen	559	7813	0.0167
u	560	7793	0.0166
sofort	561	7792	0.0166
unserer	561	7792	0.0166
künftig	562	7791	0.0166
seines	562	7791	0.0166
kleine	563	7783	0.0166
eigene	564	7764	0.0166
franken	565	7747	0.0165
gebracht	566	7736	0.0165
scheint	567	7713	0.0165
projekt	568	7691	0.0164
wien	569	7680	0.0164
lage	570	7662	0.0164
neuer	571	7661	0.0163
februar	572	7616	0.0163
gemeinsam	573	7611	0.0162
höhe	574	7592	0.0162
guten	575	7587	0.0162
läuft	576	7570	0.0162
mitte	577	7568	0.0162
setzt	578	7565	0.0161
einigen	579	7545	0.0161
mittlerweile	580	7517	0.016
staat	581	7496	0.016
spiele	582	7479	0.016
alten	583	7475	0.016
ex	584	7462	0.0159
programm	585	7450	0.0159
wahl	586	7448	0.0159
peter	587	7422	0.0158
namen	588	7415	0.0158
eltern	589	7394	0.0158
sorgen	590	7377	0.0157
teilte	591	7349	0.0157
ländern	592	7348	0.0157
alte	593	7333	0.0156
microsoft	594	7320	0.0156
aktien	595	7319	0.0156
sommer	596	7307	0.0156
league	597	7276	0.0155
region	598	7262	0.0155
sicherheit	598	7262	0.0155
nachrichten	599	7224	0.0154
länder	600	7184	0.0153
druck	601	7183	0.0153
unser	602	7174	0.0153
bald	603	7171	0.0153
verfügung	604	7161	0.0153
folge	605	7158	0.0153
obwohl	606	7146	0.0153
führt	607	7121	0.0152
aktuellen	608	7120	0.0152
d	609	7118	0.0152
aufgrund	610	7109	0.0152
fahrer	611	7108	0.0152
dritten	612	7105	0.0152
bringt	613	7102	0.0152
hamburg	614	7096	0.0151
politiker	615	7095	0.0151
hilfe	616	7082	0.0151
